,Title,Company,Company_Rating,Location,Salary,Date,Description,Yearly,Hourly,Min_Salary,Max_Salary,Avg_Salary,Remote,State,Python,R_studio,Spark,Excel,SQL
140,Sr. Molding Engineer,Corning Optical Communications,3.8,"Reynosa, Tamps.","$40,000 - $60,000 al mes",2022-04-18,"Analyze manufacturing data and suggest improvements.
 Supervise technical Process group to achieve the critical goals established by the molding department.",0,0,40000,60000,50000.0,0, Tamps.,0,1,0,0,0
141,Quality Supervisor,Corning Optical Communications,3.8,"Reynosa, Tamps.","$40,000 - $60,000 al mes",2022-05-02,"Analytic and data driven decision maker.
 B. *Analyze and resolve Quality problems, using statistical tool, data analysis , advanced Quality skills to ensure…",0,0,40000,60000,50000.0,0, Tamps.,0,1,0,0,0
142,Agente telefónico bilingüe - Answering Service Representativ...,Explora Communication Services,,"Mérida, Yuc.","$10,000 - $12,500 al mes",2022-05-04,"EXPLORA CS is a Call center with a fun, fast paced environment.
 We are looking for strong individuals who care about customer service and personal growth.",0,0,10000,12500,11250.0,0, Yuc.,0,1,0,0,0
143,Atención al cliente / Asistente Administrativo (bilingüe),Avian Premium Finance,,"Tijuana, B.C.","$12,000 - $15,000 al mes",2022-04-29,"Looking for energetic long-term employees who thrive in fast paced environment..
 No experience require training will be provided..",0,0,12000,15000,13500.0,0, B.C.,0,1,0,0,0
144,Forensic Engineer-Accident Reconstructionist,"Farahi Law Firm, APC",4.7,"Guadalajara, Jal.","$13,500 al mes",2022-04-04,"Work requires continual attention to detail with the ability to define problems, collect data, establish facts, and draw valid conclusions.",0,0,13500,13500,13500.0,0, Jal.,0,1,0,0,0
145,Planner,Corning Optical Communications,3.8,"Reynosa, Tamps.","$25,000 - $35,000 al mes",2022-05-02,"Ensure accuracy of lead times, safety stock levels, and other critical data are current through periodic ASI system.
 2-4 years planning experience.",0,0,25000,35000,30000.0,0, Tamps.,0,1,0,0,0
146,Recruiter,USA Vein Clinics,,"Tijuana, B.C.","$20,000 - $25,000 al mes",2022-04-24,"Ability to analyze and interpret applicant data, to develop criteria for candidate selection and make hiring recommendations.",0,0,20000,25000,22500.0,0, B.C.,0,1,0,0,0
147,Supervisor de Finanzas,Confíe Tijuana,,"Tijuana, B.C.","$33,000 - $34,000 al mes",2022-04-27,"Join a team that owns the timely and correct compilation and approval of Financial Statements, driving standards and maintaining consistency in data.",0,0,33000,34000,33500.0,0, B.C.,0,1,0,0,0
148,Software QA Engineer / Tester,Dilato Tecnologías de la Información LTDA,,"Tijuana, B.C.","$16,000 - $18,000 al mes",2022-04-30,"Prepare the related test data and configuration environment according to the above plans.
 We offer comprehensive QA services that combine the best resources…",0,0,16000,18000,17000.0,0, B.C.,0,1,0,0,0
149,Ejecutivo telefónico Atención a Clientes,Data Voice,3.4,"Tlalnepantla, Méx.","$5,600 al mes",2022-04-30,"Dar seguimiento a las prendas etc.
 Lunes a viernes de 12:00 pm a 8:00 pm y Sábado de 8:00 am a 4:00 pm.",0,0,5600,5600,5600.0,0, Méx.,0,1,0,0,0
